Semester,#1 Orig,#2 Orig,#3 Orig,#1 Cleaned,#2 Cleaned,#3 Cleaned,#1 Category,#2 Category,#3 Category
S21,Chocolate,Vanilla,Butterscotch,chocolate,vanilla,butterscotch,chocolate,vanilla,other
S21,Butterscotch,Chocolate,Mango,butterscotch,chocolate,mango,other,chocolate,fruit
S21,Chocolate,Vanilla,Butter Scotch,chocolate,vanilla,butterscotch,chocolate,vanilla,other
S21,Grape,Cornetto,Butterscotch,grape,cornetto,butterscotch,fruit,other,other
S21,vannila,butter scotch,chocolate,vanilla,butterscotch,chocolate,vanilla,other,chocolate
S21,butter scotch,vannila ,chocolate,butterscotch,vanilla,chocolate,other,vanilla,chocolate
S21,Chocolate,Chocolate,Chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate
S21,ButterScotch,ferrori rocher ice cream,chocolateice cream,butterscotch,ferrero rocher,chocolate,other,other,chocolate
S21,Death by chocolate,Almond candy,Butterscotch,chocolate,almond candy,butterscotch,chocolate,other,other
S21,Death by chocolate,Fruit and nut,Black current ,chocolate,fruit and nut,black currant ,chocolate,other,fruit
S21,Ferrero rocher chocolate ice-cream ,chocolateice-cream,Butterscotch ice-cream,ferrero rocher ,chocolate,butterscotch ,other,chocolate,other
S21,Chocolate,Chocolate,Cookie and cream,chocolate,chocolate,cookie and cream,chocolate,chocolate,cookie
S21,Chocolate,Butterscotch,Strawberry,chocolate,butterscotch,strawberry,chocolate,other,fruit
S21,Ferrorocher icecream ,Willy Wonka,Devils brownie,ferrero rocher ,willy wonka,devilsbrownie,other,other,other
S21,Vanilla,Black forest,Fruit overload,vanilla,black forest,fruit overload,vanilla,other,fruit
,Chocolate,Venila,Butterscotch,chocolate,vanilla,butterscotch,chocolate,vanilla,other
,Coffee,Strawberry,Mint chocolateChip,coffee,strawberry,chocolate,coffee,fruit,chocolate
,Strawberry,chocolateChip,coffee,strawberry,chocolate,coffee,fruit,chocolate,coffee
,Butterscoth,Chocolate,Vanilla,butterscotch,chocolate,vanilla,other,chocolate,vanilla
,ferrero rocher,Brownie,death by chocolate,ferrero rocher ,brownie,chocolate,other,other,chocolate
,chocolate,Vanilla,Strawberry,chocolate,vanilla,strawberry,chocolate,vanilla,fruit
,Dark chocolate,Butterscotch,Alphanso,chocolate,butterscotch,mango,chocolate,other,fruit
,Sethaphal,Malai ,Coffee walnut ,sitaphal,malai kulfi,coffee ,fruit,other,coffee
,chocolate,Chocochips,Vanilla,chocolate,chocolate,vanilla,chocolate,chocolate,vanilla
,Vanilla,chocolatewith choco chips,chocolatealmond,vanilla,chocolate,chocolate,vanilla,chocolate,chocolate
,Butterscotch ,chocolate,Choco chips,butterscotch ,chocolate,chocolate,other,chocolate,chocolate
,Chocolate,Magnum chocolatetruffle,Butterscotch,chocolate,chocolate,butterscotch,chocolate,chocolate,other
,Chocolate,vanilla,Butterscotch,chocolate,vanilla,butterscotch,chocolate,vanilla,other
,Choco bite,Guava,Butterscotch,chocolate,guava,butterscotch,chocolate,fruit,other
,black current,butter scotch,oreo,black currant,butterscotch,oreo,fruit,other,cookie
,Chocolate,chocolatechips ,chocolatealomond,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate
,chocolate,chocolatechip,Cookies n cream,chocolate,chocolate,cookie and cream,chocolate,chocolate,cookie
,Black current,Chocochip,Pista,black currant,chocolate,pista,fruit,chocolate,other
,chocolate,oreo,mango,chocolate,oreo,mango,chocolate,cookie,fruit
,Magnum,Chocochips,Vanilla,chocolate,chocolate,vanilla,chocolate,chocolate,vanilla
,Chacolate,Strawberry,Butterscotch,chocolate,strawberry,butterscotch,chocolate,fruit,other
,butter scotch,strawberry,chocolate,butterscotch ,strawberry,chocolate,other,fruit,chocolate
,Vanilla,Oreo,Mango,vanilla,oreo,mango,vanilla,cookie,fruit
,Dark chocolate,Chocolate,Coffee,chocolate,chocolate,coffee,chocolate,chocolate,coffee
,Butterscotch,Green pista,Red velvet,butterscotch,pista,red velvet,other,other,other
,butterscotch,custard apple,vanilla ,butterscotch,sitaphal,vanilla ,other,fruit,vanilla
,Dark chocolate,Yogurt wipped cream ,Kulfi...,chocolate,yogurt whipped cream ,malai kulfi,chocolate,other,other
,nuts overloaded,american delight,butterscotch,nuts overloaded,american delight,butterscotch,other,other,other
,strawberry,butterscotch ,vanilla,strawberry,butterscotch ,vanilla,fruit,other,vanilla
,butterscotch,hazelnut,caramel,butterscotch,hazelnut,caramel,other,other,other
,mint choco ship,strawberry,vanilla,chocolate,strawberry,vanilla,chocolate,fruit,vanilla
,Chocolate,Black current ,Nut and cream,chocolate,black currant ,nut and cream,chocolate,fruit,other
,roasted almond ,butter scotch,choco brownie,roasted almond,butterscotch,chocolate,other,other,chocolate
,Belgian Chocolate,American nut,Hazelnut,chocolate,american nuts,hazelnut,chocolate,other,other
,vanilla,mango,coffee,vanilla,mango,coffee,vanilla,fruit,coffee
,coffee,mango,vanilla,coffee,mango,vanilla,coffee,fruit,vanilla
,vanilla,mango,coffee,vanilla,mango,coffee,vanilla,fruit,coffee
,vanilla,butter scotch,chocolatechip,vanilla,butterscotch,chocolate,vanilla,other,chocolate
,coffee,mango,vanilla,coffee,mango,vanilla,coffee,fruit,vanilla
,butterscotch,vanilla,mango,butterscotch,vanilla,mango,other,vanilla,fruit
,mango,coffee,vanilla,mango,coffee,vanilla,fruit,coffee,vanilla
,mango,American nuts,kulfi,mango,american nuts,malai kulfi,fruit,other,other
,dark chocolate,vanilla,mango,chocolate,vanilla,mango,chocolate,vanilla,fruit
,dark chocolate,vanilla,straw berry,chocolate,vanilla,strawberry,chocolate,vanilla,fruit
,vanilla,straw berry ,chocolatechips,vanilla,strawberry ,chocolate,vanilla,fruit,chocolate
